epoch,train_loss,train_acc,test_loss,test_acc
1,0.7014615535736084,0.5138888888888888,0.6949977874755859,0.5666666666666667
2,0.6990102529525757,0.4638888888888889,0.6975982785224915,0.49166666666666664
3,0.6978340744972229,0.4361111111111111,0.6993752717971802,0.45
4,0.6971668004989624,0.41944444444444445,0.7005290985107422,0.43333333333333335
5,0.6967090368270874,0.39444444444444443,0.7012535929679871,0.4083333333333333
6,0.6963435411453247,0.37777777777777777,0.7016960382461548,0.375
7,0.6960240602493286,0.37222222222222223,0.7019587159156799,0.3416666666666667
8,0.6957318782806396,0.35555555555555557,0.7021093964576721,0.31666666666666665
9,0.6954590678215027,0.35,0.7021917700767517,0.2916666666666667
10,0.6952019929885864,0.3416666666666667,0.7022334337234497,0.2833333333333333
11,0.6949589252471924,0.3388888888888889,0.702251672744751,0.2833333333333333
12,0.6947284936904907,0.33055555555555555,0.7022573947906494,0.275
13,0.6945098638534546,0.3194444444444444,0.7022571563720703,0.26666666666666666
14,0.6943022012710571,0.3138888888888889,0.7022548317909241,0.25833333333333336
15,0.694104790687561,0.3111111111111111,0.7022528052330017,0.25833333333333336
16,0.6939171552658081,0.3055555555555556,0.7022524476051331,0.25
17,0.693738579750061,0.3,0.7022544741630554,0.24166666666666667
18,0.6935685276985168,0.29444444444444445,0.7022590637207031,0.24166666666666667
19,0.6934064626693726,0.2972222222222222,0.7022665739059448,0.24166666666666667
20,0.6932519674301147,0.3,0.7022766470909119,0.24166666666666667
21,0.69310462474823,0.2972222222222222,0.7022894620895386,0.24166666666666667
22,0.6929638981819153,0.2972222222222222,0.7023046016693115,0.23333333333333334
23,0.6928294897079468,0.2916666666666667,0.7023220062255859,0.23333333333333334
24,0.692700982093811,0.2972222222222222,0.7023414373397827,0.23333333333333334
25,0.692578136920929,0.2972222222222222,0.7023628354072571,0.23333333333333334
26,0.6924603581428528,0.3,0.7023858428001404,0.23333333333333334
27,0.6923477053642273,0.30277777777777776,0.7024103999137878,0.24166666666666667
